categoria,producto,precio_pack,precio_unitario
GASEOSAS,Coca-Cola 500ml x24,19200,800
GASEOSAS,Coca-Cola 2.25L x6,12600,2100
GASEOSAS,Coca-Cola Zero 500ml x24,19200,800
GASEOSAS,Pepsi 500ml x24,15600,650
GASEOSAS,Pepsi 2.25L x6,11400,1900
GASEOSAS,7UP 500ml x24,14400,600
GASEOSAS,Sprite 500ml x24,14400,600
GASEOSAS,Fanta Naranja 500ml x24,14400,600
GASEOSAS,Manaos Cola 2.25L x6,8400,1400
GASEOSAS,Manaos Naranja 2.25L x6,8400,1400
GASEOSAS,Manaos Pomelo 2.25L x6,8400,1400
GASEOSAS,La Nuestra Cola 3L x6,9000,1500
AGUAS,Villavicencio 500ml x24,11400,475
AGUAS,Villavicencio 1.5L x12,12000,1000
AGUAS,Eco de los Andes 500ml x24,10800,450
AGUAS,Eco de los Andes 1.5L x12,11400,950
AGUAS,Santa María 2L x6,7200,1200
AGUAS,Ser Agua Saborizada 500ml x24,12000,500
ENERGIZANTES,Red Bull 250ml x24,31200,1300
ENERGIZANTES,Monster Energy 500ml x12,18600,1550
ENERGIZANTES,Volt 473ml x24,21600,900
ENERGIZANTES,Speed Energy 250ml x24,22800,950
ENERGIZANTES,Shake 250ml x24,19200,800
JUGOS Y NÉCTARES,Cepita Manzana 200ml x24,9600,400
JUGOS Y NÉCTARES,Cepita Naranja 200ml x24,9600,400
JUGOS Y NÉCTARES,Del Valle 1L x12,18000,1500
JUGOS Y NÉCTARES,Baggio Durazno 200ml x24,9600,400
JUGOS Y NÉCTARES,Ades Manzana 1L x12,18600,1550
JUGOS Y NÉCTARES,Baggio Multifruta 1L x12,18000,1500
GOLOSINAS,Rocklets Tubo x24,7200,300
GOLOSINAS,Bubbaloo Tutti Frutti x24,3600,150
GOLOSINAS,Mentitas x24,7200,300
GOLOSINAS,Palitos de la Selva x24,6000,250
GOLOSINAS,Cabsha Rellenas x12,9600,800
GOLOSINAS,Alfajor Oreo x12,7800,650
GOLOSINAS,Sugus Surtido x24,6000,250
GOLOSINAS,Halls Mentol x24,7200,300
SNACKS,Papas Lay's Natural 67g x24,18000,750
SNACKS,Papas Lay's Natural 130g x12,18600,1550
SNACKS,Papas Lay's Queso 67g x24,18000,750
SNACKS,Doritos Queso 69g x18,18000,1000
SNACKS,Cheetos 67g x18,15300,850
SNACKS,Pringles Original 149g x12,21600,1800
SNACKS,Pringles Queso 149g x12,21600,1800
SNACKS,3D's x18,12600,700
LÁCTEOS,Leche La Serenísima 1L x12,18000,1500
LÁCTEOS,Leche La Serenísima 200ml x24,12000,500
LÁCTEOS,Chocolatada Ilolay 200ml x24,12000,500
LÁCTEOS,Yogur Ser Durazno 190g x12,10800,900
CERVEZAS,Brahma Lata 473ml x12,18000,1500
CERVEZAS,Quilmes Clásica 473ml x12,18000,1500
CERVEZAS,Heineken 250ml x24,28800,1200
CERVEZAS,Stella Artois 500ml x6,11400,1900
CERVEZAS,Imperial 500ml x6,10800,1800
CERVEZAS,Palermo 500ml x6,9600,1600
VINOS,Santa Ana Tetra 1L x12,23400,1950
VINOS,Toro Blanco Tetra 1L x12,21000,1750
VINOS,Don Valentín Lacrado 750ml x12,30000,2500
CIGARRILLOS,Marlboro Rojo x20,6600,6600
CIGARRILLOS,Marlboro Gold x20,6600,6600
CIGARRILLOS,Lucky Strike Click&Roll x20,6000,6000
CIGARRILLOS,Camel x20,6000,6000
CIGARRILLOS,Derby Azul x20,4800,4800
LIMPIEZA,Ala Polvo 800g x12,22800,1900
LIMPIEZA,Skip Polvo 400g x12,18600,1550
LIMPIEZA,Ariel Pods x6 pack,21600,3600
